DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Ulica Jozefa Adamca;;917 01;Trnava 1;Trnava 1;časť Trnava Rybník;Trnava
Ulica Mórica Beňovského;;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Sama Chalupku;;917 01;Trnava 1;Trnava 1;;Trnava
Malokarpatská;Malokarpatská;040 18;Košice 18;Košice 18;;Košice
Na Kope IV;Na Kope IV;040 16;Košice 16;Košice 16;;Košice
Na Kope V;Na Kope V;040 16;Košice 16;Košice 16;;Košice
Na Kope X;Na Kope X;040 16;Košice 16;Košice 16;;Košice
Osloboditeľov;Osloboditeľov;040 17;Košice 17;Košice 17;;Košice
Rybárska;Rybárska;040 18;Košice 18;Košice 18;;Košice
Malinová;Malinová;058 01;Poprad 1;Poprad 1;;Poprad
Sobotská;Sobotská;058 01;Poprad 1;Poprad 1;;Poprad
Ulica Majstra Pavla;Ulica Majstra Pavla;058 01;Poprad 1;Poprad 1;;Poprad
Rezbárska;Rezbárska;080 06;Prešov 6;Prešov 6;;Prešov
Staré záhrady;Staré záhrady;080 01;Prešov 1;Prešov 1;;Prešov
Šidlovec;Šidlovec;080 01;Prešov 1;Prešov 1;;Prešov
J. Kráľa;J. Kráľa;905 01;Senica 1;Senica 1;;Senica
Hnusno;Hnusno;976 98;Lopej;Lopej;;Podbrezová
Dobšinského ulica;Dobšinského ulica;085 01;Bardejov 1;Bardejov 1;;Bardejov
Mnichovský potok;Mnichovský potok;085 01;Bardejov 1;Bardejov 1;;Bardejov
Nádražná;Nádražná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Prvá priečna ul.;Prvá priečna ul.;945 01;Komárno 1;Komárno 1;;Komárno
Ul. priateľstva;Ul. priateľstva;934 01;Levice 1;Levice 1;;Levice
Brezovec;Brezovec;031 05;Liptovský Mikuláš 5;Liptovský Mikuláš 5;;Liptovský Mikuláš
Stojšova;Stojšova;031 04;Liptovský Mikuláš 4;Liptovský Mikuláš 4;;Liptovský Mikuláš
Ulica A. E. Timku;Ulica A. E. Timku;984 01;Lučenec 1;Lučenec 1;;Lučenec
Ulica cintorínska;Ulica cintorínska;984 01;Lučenec 1;Lučenec 1;;Lučenec
