ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
51;05.06.1982;30.11.2002;;;1500;;331;4;20;101;0;999;SK023;SK0233;SK0233500411;1100;;Školský poľnohospodársky podnik SPU;Školský poľnohospodársky podnik SPU;Bitter;Ján;1;51;Kolíňany;;561;95178;Kolíňany
281;01.01.1972;08.08.2000;;;;;501;4;11;101;0;999;SK010;SK0106;SK0106508063;9100;;VOJENSKÉ LESY A MAJETKY, koncernový podnik;VOJENSKÉ LESY A MAJETKY, koncernový podnik;;;;;Zámocká;;9;90118;Malacky 1
418;01.01.1972;04.01.2006;;;;46900;301;4;11;101;0;999;SK022;SK0227;SK0227514268;1100;;Vojenský opravárenský podnik 015, š.p.;Vojenský opravárenský podnik 015, š.p.;Berák;Jozef;1;;Duklianska;;60;97271;Nováky
426;01.01.1972;31.12.2500;;;25400;"25610; 25620; 56109; 27200; 45200; 46900; 56290; 47910; 47190; 46190";301;4;18;101;0;999;SK042;SK0426;SK0426521698;1110;13110;Moldavský recyklačný podnik, š.p. Moldava nad Bodvou;Moldavský recyklačný podnik, š.p. Moldava;Keselica;Milan;1;;Obrancov mieru;;9;04516;Moldava nad Bodvou
469;01.01.1974;06.01.2006;;;;56290;301;4;11;101;0;999;SK022;SK0229;SK0229505820;1100;;Vojenský opravárenský podnik 027 Trenčín,štátny podnik;Vojenský opravárenský podnik 027 Trenčín,šp;Peter;Ivan;1;;Kasárenská;;8;91105;Trenčín 5
477;01.01.1972;31.12.2005;;;45200;"56290; 46180; 56109; 71200";301;4;11;101;0;999;SK041;SK0417;SK0417524140;1100;;Vojenský opravárenský podnik 028 Prešov, štátny podnik;Vojenský opravár. podnik 028 Prešov, š.p.;Pariči;Jozef;1;;Čapajevova;;40;08001;Prešov 1
523;01.01.1974;01.02.2006;;;;"47300; 77390; 56109; 52230; 56290; 52100";301;4;11;101;0;999;SK022;SK0229;SK0229505820;1100;;Letecké opravovne Trenčín, š.p.;Letecké opravovne Trenčín, š.p.;Mikle;Peter;16;;Legionárska;;160;91104;Trenčín 4
531;01.01.1974;06.11.2006;;;;"68200; 46900; 45200; 43340; 71200";301;4;11;101;0;999;SK032;SK0321;SK0321508438;1100;;LOBB, š.p.;LOBB, š.p.;Tury;Dušan;1;;Sládkovičova;;29;97405;Banská Bystrica 5
574;01.04.1979;16.07.2005;;;;;301;4;11;101;0;999;SK032;SK0321;SK0321508594;1100;;VOJENSKÝ KARTOGRAFICKÝ ÚSTAV,štátny podnik;VOJENSKÝ KARTOGRAFICKÝ ÚSTAV,štátny podnik;;;;;Harmanec;;13;97603;Harmanec
655;15.04.1991;13.09.2006;;;;46150;121;4;99;101;0;999;SK010;SK0102;SK0102529320;1100;;PETRIMEX, akciová spoločnosť;PETRIMEX, akciová spoločnosť;Kán;Vladimír;3;;Dr.Vladimíra Clementisa;;10;82602;Bratislava 29
